ISBN.10,ISBN.13,Language,author,image_url,name,review_url,url
1911015486,978-1911015482,english,Piggyback,"https://images-na.ssl-images-amazon.com/images/I/51HTscN%2BTyL._SX444_BO1,204,203,200_.jpg",The Legend of Zelda: Breath of the Wild The Complete Official Guide: -Expanded Edition,https://www.amazon.com/Legend-Zelda-Complete-Official-Expanded/product-reviews/1911015486/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Legend-Zelda-Complete-Official-Expanded/dp/1911015486
078696619X,978-0786966196,english,Wizards RPG Team,"https://images-na.ssl-images-amazon.com/images/I/516h6TMiJhL._SX396_BO1,204,203,200_.jpg",Dungeon Master's Screen Reincarnated,https://www.amazon.com/Dungeon-Masters-Screen-Reincarnated-Wizards/product-reviews/078696619X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Dungeon-Masters-Screen-Reincarnated-Wizards/dp/078696619X
62433970,978-0062433978,english,Christopher Moore,"https://images-na.ssl-images-amazon.com/images/I/51cxJa0ezeL._SX322_BO1,204,203,200_.jpg",Noir: A Novel,https://www.amazon.com/Noir-Novel-Christopher-Moore/product-reviews/0062433970/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Noir-Novel-Christopher-Moore/dp/0062433970
345535529,978-0345535528,english,George R. R. Martin,"https://images-na.ssl-images-amazon.com/images/I/61Y-vYqyqYL._SY480_BO1,204,203,200_.jpg",A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,https://www.amazon.com/Thrones-Clash-Kings-Swords-Dragons/product-reviews/0345535529/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Thrones-Clash-Kings-Swords-Dragons/dp/0345535529
525622136,978-0525622130,english,Daniel José Older,"https://images-na.ssl-images-amazon.com/images/I/51NeQnxOm2L._SY344_BO1,204,203,200_.jpg",Last Shot (Star Wars): A Han and Lando Novel,https://www.amazon.com/Last-Shot-Star-Wars-Lando/product-reviews/0525622136/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Last-Shot-Star-Wars-Lando/dp/0525622136
786965592,978-0786965595,english,Wizards RPG Team,"https://images-na.ssl-images-amazon.com/images/I/51Ykm93n8ML._SX389_BO1,204,203,200_.jpg",Dungeons & Dragons Starter Set,https://www.amazon.com/Dungeons-Dragons-Starter-Wizards-Team/product-reviews/0786965592/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Dungeons-Dragons-Starter-Wizards-Team/dp/0786965592
1501126067,978-1501126062,english,Jesmyn Ward,"https://images-na.ssl-images-amazon.com/images/I/515pYTNTrcL._SX324_BO1,204,203,200_.jpg","Sing, Unburied, Sing: A Novel",https://www.amazon.com/Sing-Unburied-Novel-Jesmyn-Ward/product-reviews/1501126067/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Sing-Unburied-Novel-Jesmyn-Ward/dp/1501126067
451475216,978-0451475213,english,J.R. Ward,"https://images-na.ssl-images-amazon.com/images/I/61KZYTifF3L._SY344_BO1,204,203,200_.jpg",The Thief: A Novel of the Black Dagger Brotherhood,https://www.amazon.com/Thief-Novel-Black-Dagger-Brotherhood/product-reviews/0451475216/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Thief-Novel-Black-Dagger-Brotherhood/dp/0451475216
804137277,978-0804137270,english,Ernest Cline,"https://images-na.ssl-images-amazon.com/images/I/51xqmUIOIJL._SY344_BO1,204,203,200_.jpg",Armada: A novel by the author of Ready Player One,https://www.amazon.com/Armada-novel-author-Ready-Player/product-reviews/0804137277/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Armada-novel-author-Ready-Player/dp/0804137277
60850523,978-0060850524,english,Aldous Huxley,"https://images-na.ssl-images-amazon.com/images/I/41l%2B4UobkRL._SX325_BO1,204,203,200_.jpg",Brave New World,https://www.amazon.com/Brave-New-World-Aldous-Huxley/product-reviews/0060850523/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Brave-New-World-Aldous-Huxley/dp/0060850523
345538374,978-0345538376,english,J.R.R. Tolkien,"https://images-na.ssl-images-amazon.com/images/I/51GJzbM5vTL._SX373_BO1,204,203,200_.jpg",The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,https://www.amazon.com/Hobbit-Lord-Rings-Fellowship-Towers/product-reviews/0345538374/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Hobbit-Lord-Rings-Fellowship-Towers/dp/0345538374
451524934,978-0451524935,english,George Orwell,"https://images-na.ssl-images-amazon.com/images/I/31l24hBKHaL._SY344_BO1,204,203,200_.jpg",1984 (Signet Classics),https://www.amazon.com/1984-Signet-Classics-George-Orwell/product-reviews/0451524934/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/1984-Signet-Classics-George-Orwell/dp/0451524934
786965800,978-0786965809,english,Wizards RPG Team,"https://images-na.ssl-images-amazon.com/images/I/51yV7jtt62L._SX381_BO1,204,203,200_.jpg",Sword Coast Adventurer's Guide (D&D Accessory),https://www.amazon.com/Sword-Coast-Adventurers-Guide-Accessory/product-reviews/0786965800/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Sword-Coast-Adventurers-Guide-Accessory/dp/0786965800
812988523,978-0812988529,english,Kurt Vonnegut,"https://images-na.ssl-images-amazon.com/images/I/41jp-9I57KL._SY344_BO1,204,203,200_.jpg",Slaughterhouse-Five: A Novel (Modern Library 100 Best Novels),https://www.amazon.com/Slaughterhouse-Five-Novel-Modern-Library-Novels/product-reviews/0385333846/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Slaughterhouse-Five-Novel-Modern-Library-Novels/dp/0385333846
316547611,978-0316547611,english,Naomi Alderman,"https://images-na.ssl-images-amazon.com/images/I/51PUiZ2CfqL._SY344_BO1,204,203,200_.jpg",The Power,https://www.amazon.com/Power-Naomi-Alderman/product-reviews/0316547611/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Power-Naomi-Alderman/dp/0316547611
765382032,978-0765382030,english,Cixin Liu,"https://images-na.ssl-images-amazon.com/images/I/516e9-TjddL._SX329_BO1,204,203,200_.jpg",The Three-Body Problem,https://www.amazon.com/Three-Body-Problem-Cixin-Liu/product-reviews/0765382032/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Three-Body-Problem-Cixin-Liu/dp/0765382032
076532637X,978-0765326379,english,Brandon Sanderson,"https://images-na.ssl-images-amazon.com/images/I/51G3r2QSvoL._SY344_BO1,204,203,200_.jpg",Oathbringer: Book Three of the Stormlight Archive,https://www.amazon.com/Oathbringer-Book-Three-Stormlight-Archive/product-reviews/076532637X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://www.amazon.com/Oathbringer-Book-Three-Stormlight-Archive/dp/076532637X
